#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"HostName","TimeStamp","TimeToLive","RecordType","IP","CName"
"_VLMCS._tcp","01.3.2025 09:00:00","01:00:00","SRV",,
"_kerberos._udp","02.3.2025 17:00:00","00:10:00","SRV",,
"_kerberos._udp","01.3.2025 15:00:00","00:10:00","SRV",,
"_kerberos._udp","02.3.2025 08:00:00","00:10:00","SRV",,
"_kerberos._udp","03.3.2025 17:00:00","00:10:00","SRV",,
"_kerberos._udp","04.3.2025 05:00:00","00:10:00","SRV",,
"_kerberos._udp","01.3.2025 17:00:00","00:10:00","SRV",,
"_kpasswd._udp","04.3.2025 05:00:00","00:10:00","SRV",,
"_kpasswd._udp","01.3.2025 17:00:00","00:10:00","SRV",,
"_kpasswd._udp","01.3.2025 15:00:00","00:10:00","SRV",,
"_kpasswd._udp","03.3.2025 17:00:00","00:10:00","SRV",,
"_kpasswd._udp","02.3.2025 17:00:00","00:10:00","SRV",,
"_kpasswd._udp","02.3.2025 08:00:00","00:10:00","SRV",,
"abms-acc-0",,"01:00:00","A","10.10.100.27",
"acengar-acc-1",,"01:00:00","A","10.10.100.74",
"admin",,"01:00:00","A","10.10.50.200",
"admincareer",,"01:00:00","A","10.10.50.71",
"agar-acc-0",,"01:00:00","A","10.10.100.76",
"agar-acc-2",,"01:00:00","A","10.10.100.75",
"agar-acc-4",,"01:00:00","A","10.10.100.74",
"ains-acc-1-08752",,"01:00:00","A","10.10.100.48",
"ains-acc-1-08753",,"01:00:00","A","10.10.100.50",
"ains-acc-1-08757",,"01:00:00","A","10.10.100.47",
"ains-acc-1-08758",,"01:00:00","A","10.10.100.45",
"ains-acc-1-08759",,"01:00:00","A","10.10.100.49",
"ains-acc-1-08760",,"01:00:00","A","10.10.100.44",
"ains-acc-1-08761",,"01:00:00","A","10.10.100.46",
"ains-acc-1-09376",,"01:00:00","A","10.10.100.53",
"ains-acc-1-09382",,"01:00:00","A","10.10.100.51",
"ains-acc-2-0874",,"01:00:00","A","10.10.100.58",
"ains-acc-3-10656",,"01:00:00","A","10.10.100.56",
"ains-acc-3-10660",,"01:00:00","A","10.10.100.54",
"ains-acc-3-10664",,"01:00:00","A","10.10.100.57",
"ains-acc-3-10665",,"01:00:00","A","10.10.100.55",
"ains-agg-1",,"01:00:00","A","10.10.100.40",
"ainst-acc-0",,"01:00:00","A","10.10.100.43",
"ainv-acc-1",,"01:00:00","A","10.10.100.32",
"aitt-acc-1",,"01:00:00","A","10.10.100.81",
"aitt-acc-2",,"01:00:00","A","10.10.100.85",
"aitt-acc-3",,"01:00:00","A","10.10.100.86",
"aitt-acc-4",,"01:00:00","A","10.10.100.125",
"aitt-acc-5",,"01:00:00","A","10.10.100.124",
"aitt-acc-6",,"01:00:00","A","10.10.100.126",
"aitt-agg-1",,"01:00:00","A","10.10.100.2",
"aitt-cctv-1",,"01:00:00","A","10.10.100.89",
"aitt-core-1",,"01:00:00","A","10.10.100.1",
"aitt-coresw-1",,"01:00:00","A","10.10.100.100",
"aitt-dmzsw-1",,"01:00:00","A","62.162.121.44",
"aitt-fwasa",,"01:00:00","A","10.10.100.101",
"aitt-fwcp-1",,"01:00:00","A","10.10.100.103",
"aitt-fwcp-2",,"01:00:00","A","10.10.100.104",
"aitt-fwcp-cluster",,"01:00:00","A","10.10.100.105",
"aitt-int-2",,"01:00:00","A","10.10.100.5",
"aitt-vpndata-1",,"01:00:00","A","172.16.128.5",
"aitts",,"01:00:00","A","10.10.50.82",
"akaj-acc-0",,"01:00:00","A","10.10.100.88",
"akas-acc-0",,"01:00:00","A","10.10.100.87",
"akkf-acc-0",,"01:00:00","A","10.10.100.62",
"akkf-acc-0-1",,"01:00:00","A","10.10.100.61",
"akkf-acc-1",,"01:00:00","A","10.10.100.63",
"akkf-acc-2",,"01:00:00","A","10.10.100.64",
"akkf-acc-2-08762",,"01:00:00","A","10.10.100.66",
"akkf-acc-2-09377",,"01:00:00","A","10.10.100.68",
"akkf-acc-2-09378",,"01:00:00","A","10.10.100.69",
"akkf-acc-2-09379",,"01:00:00","A","10.10.100.67",
"akkf-acc-2-10657",,"01:00:00","A","10.10.100.60",
"akkf-acc-3",,"01:00:00","A","10.10.100.65",
"akkf-core-2",,"01:00:00","A","10.10.100.3",
"akkf-fwcp-3",,"01:00:00","A","10.10.100.106",
"alkacanteen",,"01:00:00","A","10.10.26.1",
"ALKADAS-CDR-LS","27.2.2025 13:00:00","00:20:00","A","10.10.141.153",
"ALKADAS-HF-LS",,"01:00:00","A","10.10.141.155",
"ALKADAS-IEP-LS",,"01:00:00","A","10.10.141.156",
"ALKADAS-NM-LS",,"01:00:00","A","10.10.141.164",
"ALKADAS-NOT-LS",,"01:00:00","A","10.10.141.157",
"alkadas-pc-ls",,"01:00:00","A","10.10.141.163",
"ALKADAS-SP-AG",,"01:00:00","A","10.10.141.160",
"alkadas-sp-ls",,"01:00:00","A","10.10.141.161",
"alkadas-spex-ls",,"01:00:00","A","10.10.141.162",
"ALKADAS-SQL-CL","27.2.2025 05:00:00","00:20:00","A","10.10.141.150",
"ALKADAS-SS-LS",,"01:00:00","A","10.10.141.154",
"alkadas-sso-ls","27.2.2025 13:00:00","00:20:00","A","10.10.141.149",
"alkainfo",,"01:00:00","A","10.10.60.18",
"alkanet",,"01:00:00","A","10.10.55.41",
"AlkaRecruit",,"01:00:00","A","10.10.120.36",
"alkavisitor",,"01:00:00","A","10.10.63.1",
"alkda-isatap",,"01:00:00","A","10.15.55.10",
"alkda-isatap",,"01:00:00","A","10.10.55.10",
"alkda-isatap",,"01:00:00","A","10.15.55.11",
"alkda-isatap",,"01:00:00","A","10.10.55.12",
"alkda-isatap",,"01:00:00","A","10.10.55.11",
"alkda-isatap",,"01:00:00","A","10.15.55.9",
"alkmail",,"00:05:00","A","10.10.55.40",
"amen-acc-2",,"01:00:00","A","10.10.100.14",
"amenza-acc-1",,"01:00:00","A","10.10.100.14",
"amgp-acc-0",,"01:00:00","A","10.10.100.71",
"amrm-acc-1",,"01:00:00","A","10.10.100.34",
"amsu-acc-0",,"01:00:00","A","10.10.100.31",
"amv-acc-1",,"01:00:00","A","10.10.100.33",
"anf-acc-2",,"01:00:00","A","10.10.100.28",
"anf-acc-3",,"01:00:00","A","10.10.100.20",
"anf-acc-4",,"01:00:00","A","10.10.100.22",
"anf-acc-4-10936",,"01:00:00","A","10.10.100.35",
"ankf-acc-0",,"01:00:00","A","10.10.100.23",
"aosmgmt-mes-dev",,"01:00:00","A","10.10.144.10",
"aosmgmt-mes-prd",,"01:00:00","A","10.10.144.2",
"aosvision-mes-dev",,"01:00:00","A","10.10.144.10",
"aosvision-mes-prd",,"01:00:00","A","10.10.144.2",
"aosvision-mes-tst",,"01:00:00","A","10.10.144.6",
"appz-acc-1",,"01:00:00","A","10.10.100.83",
"aqoc-acc-2",,"01:00:00","A","10.10.100.24",
"aqoc-acc-3",,"01:00:00","A","10.10.100.26",
"aqoc-acc-4",,"01:00:00","A","10.10.100.25",
"arab-acc-0",,"01:00:00","A","10.10.100.17",
"areg-acc-3",,"01:00:00","A","172.24.4.2",
"asin-acc-0",,"01:00:00","A","10.10.100.18",
"askf-acc-0",,"01:00:00","A","10.10.100.21",
"askf-agg-1",,"01:00:00","A","10.10.100.30",
"askfar-acc-1",,"01:00:00","A","10.10.100.70",
"askfar-acc-2",,"01:00:00","A","10.10.100.73",
"asset",,"01:00:00","A","10.10.60.18",
"atablab-acc-1",,"01:00:00","A","10.10.100.29",
"auz-acc-1",,"01:00:00","A","10.10.100.11",
"auz-acc-14",,"01:00:00","A","10.10.100.41",
"auz-acc-6",,"01:00:00","A","10.10.100.16",
