"Name","Enabled","alkPCmodel","CanonicalName","info","serialNumber","Created","Description","LastLogonDate","OperatingSystem","Location"
"STDPC0006","True","Dell Optiplex 5040","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/STDPC0006","Za Delovi za IPC","17BY3J2","28.3.2023 14:34:56","08590",,,
"PC000426","True","Dell Latitude 5590","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000426",,"FGFFNV2","27.2.2023 15:25:40","09910","17.10.2023 08:38:31","Windows 10 Enterprise",
"PC000343","True","Dell Latitude 5530","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000343",,"5BJW6S3","30.1.2023 12:42:41","11589","23.11.2023 09:15:31","Windows 10 Enterprise",
"PCLQC0009","False",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PCLQC0009",,,"15.4.2013 16:04:55","08510","30.3.2023 20:09:54","Windows 10 Enterprise",
"STDPC0011","True","Dell Optiplex 760","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/STDPC0011","Za Delovi za IPC","1K8354J","28.3.2023 14:47:20","00263",,,
"STDPC0008","True","Dell Optiplex 7020","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/STDPC0008","Za Delovi za IPC","J48KS42","28.3.2023 14:53:39","08248",,,
"STDPC0009","True","Dell Optiplex 780","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/STDPC0009","Za Delovi za IPC","365925J","28.3.2023 14:55:04","07929",,,
"STDPC0010","True","Dell Optiplex 9020","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/STDPC0010","Za Delovi za IPC","9RBNV02","28.3.2023 14:56:30","08342",,,
"IPCAIT0011","True","Dell Optiplex 7040","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/IPCAIT0011","Polovni IPC za instalacija koga ke treba","HZL7DK2","28.3.2023 15:10:02","09249",,,
"IPCAIT0012","True","Dell Optiplex 7040","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/IPCAIT0012","Polovni IPC za instalacija koga ke treba","9GHQYJ2","28.3.2023 15:12:11","09175",,,
"IPCAIT0013","True","Dell Optiplex 7040","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/IPCAIT0013","Polovno IPC za instalacija koga ke treba","9GKMYJ2","28.3.2023 15:14:47","09176",,,
"IPCAIT0014","True","Dell Optiplex 7040","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/IPCAIT0014","Polovno IPC za instalacija koga ke treba","9GLLYJ2","28.3.2023 15:17:07","09177",,,
"PCAUZ4088","False",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PCAUZ4088",,,"14.7.2016 08:56:15",,"30.6.2023 09:08:03","Windows 10 Enterprise",
"PCAPPZ2008","False",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PCAPPZ2008",,,"05.6.2019 11:23:51","08240","29.5.2023 07:17:57","Windows 10 Enterprise",
"PC000314","True","Dell Latitude 5530","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000314",,"3DJW6S3","20.1.2023 11:48:25","11561","27.11.2023 14:16:32","Windows 10 Enterprise",
"PC000527","True","Dell Latitude E5520","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000527","Za Praktikanti","HDS9CT1","11.5.2023 08:50:38","07980","01.8.2023 07:37:19","Windows 10 Enterprise",
"PCAMV0006","False",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PCAMV0006",,,"04.12.2014 12:09:21","08852","18.4.2023 07:37:09","Windows 10 Enterprise",
"PC000276","False",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000276",,,"21.3.2013 17:21:59","08504","25.4.2023 10:49:43","Windows 10 Enterprise",
"PC000389","True","Dell OptiPlex 5090 MFF","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000389",,"96Y98L3","27.2.2023 10:59:07","11628","01.11.2023 08:13:32","Windows 11 Enterprise",
"PC000383","True","Dell Latitude 7430","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000383",,"971VTQ3","07.2.2023 10:06:27","11502","08.11.2023 12:27:57","Windows 10 Enterprise",
"PC000513","True","Dell Latitude E5530","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000513","Za Praktikant","31G7XW1","04.5.2023 13:53:48","00016","26.9.2023 07:27:11","Windows 10 Enterprise",
"PC000823","True",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000823",,,"27.9.2021 08:48:39","10884","27.11.2023 11:50:31","Windows 11 Enterprise",
"IPCAIT0007","True","Dell OptiPlex 5000 MT","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/IPCAIT0007",,"F3WQ4T3","28.2.2023 13:59:04","11619",,,
"IPCAIT0008","True","Dell OptiPlex 5000 MT","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/IPCAIT0008",,"14WQ4T3","28.2.2023 14:00:33","11620",,,
"IPCAIT0009","True","Dell OptiPlex 7000 MT","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/IPCAIT0009",,"53WQ4T3","28.2.2023 14:01:25","11635",,,
"IPCAIT0010","True","Dell OptiPlex 7000 MT","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/IPCAIT0010",,"63WQ4T3","28.2.2023 14:02:13","11636",,,
"PC000514","True","Dell Latitude E5540","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000514","Za Praktikant","32MHJ12","04.5.2023 15:20:24","08285","25.9.2023 09:36:55","Windows 10 Enterprise",
"STDAIT0002","True","Dell OptiPlex 5000 SFF","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/STDAIT0002",,"74WQ4T3","28.2.2023 14:05:32","11618",,,
"PCAMPMPP1002","True",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PCAMPMPP1002",,,"27.1.2020 13:27:47","10077","19.9.2023 09:12:47","Windows 10 Enterprise",
