CURRENT_LOGIN_USER                                                                                                                                                                                                                                              ;COMPUTER_NAME                                                   ;OPERATION_SYSTEM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;SERVICE_PACK                                                    ;IP_ADDR1                          ;MAC_ADDR1        ;IP_ADDR2                          ;MAC_ADDR2        ;BIOS_VERSION                                                                                                                    ;BIOS_SERIALNUMBER                                                                                                               ;MEMORY              ;DISK_TOTAL          
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------;----------------------------------------------------------------;--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------;----------------------------------------------------------------;----------------------------------;-----------------;----------------------------------;-----------------;--------------------------------------------------------------------------------------------------------------------------------;--------------------------------------------------------------------------------------------------------------------------------;--------------------;--------------------
rguchakov                                                                                                                                                                                                                                                       ;PCRUS443                                                        ;Windows 11 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;22631                                                           ;0x0A0A5033                        ;NULL             ;0xC0A80124                        ;2C-7B-A0-09-17-1C;HPQOEM - 0 V70 Ver. 01.04.00                                                                                                    ;5CG4221WDM                                                                                                                      ;         16794279936;        511168212992
msmirnova                                                                                                                                                                                                                                                       ;PCRUS387                                                        ;Windows 11 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;22631                                                           ;0xA9FEC195                        ;38-D5-7A-E7-15-6D;0x0A32064D                        ;00-E0-4C-68-03-C1;HONOR - 2 1.15                                                                                                                  ;ARURPM4228000473                                                                                                                ;          7879585792;        511168212992
afedosova                                                                                                                                                                                                                                                       ;PCRUS353                                                        ;Windows 11 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;22621                                                           ;0x0A0A5032                        ;NULL             ;0xC0A80039                        ;38-D5-7A-E3-3B-49;HONOR - 2 1.14                                                                                                                  ;A64LPM3718000922                                                                                                                ;         16469520384;        511194427392
alkchadmin                                                                                                                                                                                                                                                      ;srvaitrdch31                                                    ;Windows Server 2022 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;20348                                                           ;0x0A0A2317                        ;00-50-56-B3-5A-4E;0xFE80000000000000041C065415FEF79A;00-50-56-B3-5A-4E;INTEL  - 6040000 VMW71.00V.24224532.B64.2408191458                                                                              ;VMware-42 33 73 4f 84 c7 1a ae-c1 a2 0a 8a b5 5e 83 17                                                                          ;        137437908992;        106778587136
alkchadmin                                                                                                                                                                                                                                                      ;srvaitchdv31                                                    ;Windows Server 2022 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;20348                                                           ;0x0A0A2316                        ;00-50-56-B3-D9-B7;0xFE80000000000000A18BF46CA0AB757A;00-50-56-B3-D9-B7;INTEL  - 6040000 VMW71.00V.24224532.B64.2408191458                                                                              ;VMware-42 33 a1 ad a7 fa 22 99-a0 69 79 2e be 5b ab 6e                                                                          ;         17178828800;        106778587136
adoninska                                                                                                                                                                                                                                                       ;PCANF0089                                                       ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;17763                                                           ;0x0A0A0C28                        ;B8-85-84-C6-05-0A;0xFE8000000000000051C06D4AD8CE0EB1;B8-85-84-C6-05-0A;DELL   - 1072009 1.2.22                                                                                                         ;2KFV5W2                                                                                                                         ;          8376238080;        209154207744
Martina Bogojovska                                                                                                                                                                                                                                              ;4YG6WZ1                                                         ;Windows 7 Professional Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;Service Pack 1                                                  ;0x0A0A8012                        ;EC-F4-BB-15-13-38;0xFE80000000000000A5D1083D74A393CF;EC-F4-BB-15-13-38;DELL   - 1072009 BIOS Date: 02/20/14 02:44:09 Ver: A05.00                                                                       ;4YG6WZ1                                                                                                                         ;          4195938304;        500000878592
alkchadmin                                                                                                                                                                                                                                                      ;srvaitchdb41                                                    ;Windows Server 2022 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;20348                                                           ;0x0A0A231A                        ;00-50-56-B3-3B-30;NULL                              ;NULL             ;INTEL  - 6040000 VMW71.00V.24224532.B64.2408191458                                                                              ;VMware-42 33 5d 04 98 74 44 3f-f4 2b 9f e2 93 d1 5a 27                                                                          ;         68718436352;        106778587136
aklimevska                                                                                                                                                                                                                                                      ;PCLFLEX2012                                                     ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0x0A1E0A32                        ;E4-5E-37-9F-50-EC;0x0A1E653E                        ;8C-04-BA-A0-F6-EF;DELL   - 1072009 1.9.1                                                                                                          ;FKFND43                                                                                                                         ;          8361205760;        208357769216
btrajkovski                                                                                                                                                                                                                                                     ;PC001059                                                        ;Windows 11 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;22631                                                           ;0x0A0A0C33                        ;4C-D7-17-7F-CE-D2;0xFE800000000000004B7ACC5E0A026BEE;4C-D7-17-7F-CE-D2;DELL   - 2 1.9.0                                                                                                                ;G2NB924                                                                                                                         ;         16853479424;        209164693504
mmilenkovski                                                                                                                                                                                                                                                    ;PCBMAG0028                                                      ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0x0A1E0026                        ;64-00-6A-6F-CA-CF;0xFE8000000000000073EBBBFF479B0673;64-00-6A-6F-CA-CF;DELL   - 1072009 1.20.0                                                                                                         ;76S58C2                                                                                                                         ;          8472502272;         97032380416
vboceski                                                                                                                                                                                                                                                        ;srvruswus                                                       ;Windows Server 2022 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;20348                                                           ;0x0A32060E                        ;00-15-5D-06-0B-0D;0xFE800000000000009F237F5A4B652A56;00-15-5D-06-0B-0D;VRTUAL - 1 Hyper-V UEFI Release v4.1                                                                                            ;5189-5214-3199-8726-1092-0144-85                                                                                                ;          4186578944;        106150490112
Thermo                                                                                                                                                                                                                                                          ;FG5J7V3                                                         ;Windows 10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;19044                                                           ;0xAC100065                        ;40-A6-B7-AC-5C-F6;0x0A0A80B9                        ;CC-96-E5-13-3D-3A;DELL   - 2 1.7.3                                                                                                                ;FG5J7V3                                                                                                                         ;         34033348608;        510389121024
elena.markovska                                                                                                                                                                                                                                                 ;srvaitdasdcdr1                                                  ;Windows Server 2022 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;20348                                                           ;0x0A0A8D8D                        ;00-50-56-B3-77-11;0xFE800000000000002D4FDBBE30EE8B5C;00-50-56-B3-77-11;INTEL  - 6040000 VMW71.00V.21100432.B64.2301110304                                                                              ;VMware-42 33 0f 80 17 03 3c ff-6b 3f 0c 78 96 67 31 0c                                                                          ;         17178832896;        106778587136
elena.markovska                                                                                                                                                                                                                                                 ;srvaitdascdr2                                                   ;Windows Server 2022 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;20348                                                           ;0x0A0A8D83                        ;00-50-56-B3-7A-71;0xFE800000000000000FD097E59569C3CC;00-50-56-B3-7A-71;INTEL  - 6040000 VMW71.00V.21100432.B64.2301110304                                                                              ;VMware-42 33 40 a0 26 4b 09 a0-38 95 5d e9 19 79 4f 5e                                                                          ;         17178832896;        106778587136
spectro                                                                                                                                                                                                                                                         ;srvaitspectro                                                   ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0x0A0A3F05                        ;00-50-56-B3-DD-BB;0xFE8000000000000071B995419EE18C75;00-50-56-B3-DD-BB;INTEL  - 6040000 PhoenixBIOS 4.0 Release 6.0                                                                                    ;VMware-42 33 0c 78 a8 4d a7 82-9b 6f fb 16 42 d7 10 eb                                                                          ;          8589328384;        106226335744
evidovic                                                                                                                                                                                                                                                        ;PC000245                                                        ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0x0A1E0A4A                        ;04-33-C2-44-F8-2C;0x0A1E6528                        ;8C-04-BA-9B-FD-46;DELL   - 1072009 1.19.0                                                                                                         ;77Y0133                                                                                                                         ;          8361205760;        208367738880
msekuloska                                                                                                                                                                                                                                                      ;PCAUZ5056                                                       ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0x0A0A2AF6                        ;30-24-32-E5-88-A0;0x0A0A0633                        ;B8-85-84-9E-53-48;DELL   - 1072009 1.1.4                                                                                                          ;5YGMYR2                                                                                                                         ;          8377016320;        177489989632
alkchadmin                                                                                                                                                                                                                                                      ;IPCAINST0003                                                    ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19042                                                           ;0x0A0A23E3                        ;B0-7B-25-0C-A0-7D;0xFE80000000000000152CCB8496949ADE;B0-7B-25-0C-A0-7D;DELL   - 1072009 1.3.10                                                                                                         ;29B1TD3                                                                                                                         ;         16881111040;       1022646607872
mbogoev                                                                                                                                                                                                                                                         ;PC001253                                                        ;Windows 11 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;22631                                                           ;0x0A0A2A3D                        ;E0-8F-4C-0D-79-B0;0xFE800000000000000F894D042285FA32;E0-8F-4C-0D-79-B0;DELL   - 2 1.12.0                                                                                                               ;3CRLW34                                                                                                                         ;         16851447808;        418334695424
dskalov                                                                                                                                                                                                                                                         ;PC001021                                                        ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0xC0A88901                        ;50-2B-73-D0-0E-D1;0x0A1E0141                        ;84-8F-69-F7-A0-A3;DELL   - 6222004 A22                                                                                                            ;8LQC85J                                                                                                                         ;          4169854976;        268711206912
lmenshikova                                                                                                                                                                                                                                                     ;PCRUS391                                                        ;Windows 11 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;22621                                                           ;0x0A32062D                        ;00-E0-4C-68-01-A2;0xFE80000000000000FE295F1182025B54;00-E0-4C-68-01-A2;HONOR - 2 1.15                                                                                                                  ;ARURPM4228000142                                                                                                                ;          7879585792;        511195475968
jtodorcev                                                                                                                                                                                                                                                       ;srvaitprosys                                                    ;Windows Server 2016 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;14393                                                           ;0x0A0A0937                        ;00-50-56-B3-3C-2C;NULL                              ;NULL             ;INTEL  - 6040000 VMW71.00V.21100432.B64.2301110304                                                                              ;VMware-42 33 5a 2c 4e d1 a2 97-06 69 7e 23 f8 4a d3 8c                                                                          ;         17178824704;        171203096576
dangelovski                                                                                                                                                                                                                                                     ;PC001213                                                        ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0x0A0A4039                        ;90-B1-1C-88-2D-08;0xFE80000000000000849FA2FD8588672A;90-B1-1C-88-2D-08;DELL   - 1072009 A08                                                                                                            ;F9PSJ5J                                                                                                                         ;          8470974464;        195466432512
msekuloska                                                                                                                                                                                                                                                      ;srvaitrdfin                                                     ;Windows Server 2016 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;14393                                                           ;0x0A0A328A                        ;00-50-56-B3-B6-07;0xFD6CC5C213C27777000000000A0A328A;00-50-56-B3-B6-07;INTEL  - 6040000 VMW71.00V.21100432.B64.2301110304                                                                              ;VMware-56 4d a0 bd c3 3a bc 8a-35 4f bc 6b 7d 30 1f c0                                                                          ;          8588890112;         82082525184
idakovic                                                                                                                                                                                                                                                        ;srvaitdmsp01                                                    ;Windows Server 2012 R2 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;9600                                                            ;0x0A0A3284                        ;00-50-56-8E-5D-D7;NULL                              ;NULL             ;INTEL  - 6040000 PhoenixBIOS 4.0 Release 6.0                                                                                    ;VMware-42 0e 2a 45 ac e3 f4 c8-e0 cc a0 a1 3a 51 36 e4                                                                          ;         12884295680;        107005079552
dcvetanovski                                                                                                                                                                                                                                                    ;srvaitlxbs11                                                    ;Windows Server 2016 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;14393                                                           ;0x0A0A4B28                        ;00-50-56-B3-B6-D2;0xFE80000000000000B95A5AAA6ABB5FAF;00-50-56-B3-B6-D2;INTEL  - 6040000 VMW71.00V.21100432.B64.2301110304                                                                              ;VMware-42 33 46 32 ab a2 83 d4-70 82 91 89 63 0f c8 01                                                                          ;         17178824704;        106778587136
dbogdanovski                                                                                                                                                                                                                                                    ;PCANF0088                                                       ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;17763                                                           ;0x0A0A29F8                        ;98-2C-BC-FA-11-94;0xFE80000000000000319780901406B241;98-2C-BC-FA-11-94;DELL   - 1072009 1.2.22                                                                                                         ;HKFV5W2                                                                                                                         ;          8376238080;        177697865728
sristov                                                                                                                                                                                                                                                         ;srvaitadcs                                                      ;Windows Server 2022 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;20348                                                           ;0x0A0A3D01                        ;00-50-56-B3-06-BC;0xFE80000000000000CBE55A30B08C2745;00-50-56-B3-06-BC;INTEL  - 6040000 VMW71.00V.21100432.B64.2301110304                                                                              ;VMware-42 33 89 7b 56 df cd 4a-06 f2 ed 03 5f 7c bf 50                                                                          ;          8588898304;        106778587136
mkabkov                                                                                                                                                                                                                                                         ;PCRUS363                                                        ;Windows 11 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;22631                                                           ;0x0A0A500B                        ;NULL             ;0xC0A8006C                        ;38-D5-7A-E3-47-97;HONOR - 2 1.15                                                                                                                  ;ARURPM3719000400                                                                                                                ;          7879585792;        511198621696
katanasova                                                                                                                                                                                                                                                      ;SRVAITRDCH51                                                    ;Windows Server 2022 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;20348                                                           ;0x0A0A2325                        ;00-50-56-B3-E3-58;0xFE80000000000000C3B6C6B7FF3CB1F4;00-50-56-B3-E3-58;INTEL  - 6040000 VMW71.00V.21100432.B64.2301110304                                                                              ;VMware-42 33 38 24 f1 7c ed 2b-e8 2e 8f c9 70 5d 42 dc                                                                          ;         68718440448;        106778587136
eshtrbevski                                                                                                                                                                                                                                                     ;PC001295                                                        ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0x0A1E6583                        ;8C-04-BA-9B-FB-DA;0xFE80000000000000F0132263F8634B10;8C-04-BA-9B-FB-DA;DELL   - 1072009 1.1.3                                                                                                          ;J7Y0133                                                                                                                         ;          8361205760;        209154207744
Thermo                                                                                                                                                                                                                                                          ;GZMPB93                                                         ;Windows 10 Enterprise LTSC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;17763                                                           ;0xAC100065                        ;B4-96-91-A1-4C-9C;0x0A0A802A                        ;70-B5-E8-44-DF-07;DELL   - 1072009 1.30.0                                                                                                         ;GZMPB93                                                                                                                         ;         34145955840;        510938574848
