CURRENT_LOGIN_USER                                                                                                                                                                                                                                              ;COMPUTER_NAME                                                   ;OPERATION_SYSTEM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;SERVICE_PACK                                                    ;IP_ADDR1                          ;MAC_ADDR1        ;IP_ADDR2                          ;MAC_ADDR2        ;BIOS_VERSION                                                                                                                    ;BIOS_SERIALNUMBER                                                                                                               ;MEMORY              ;DISK_TOTAL          
pbilka                                                                                                                                                                                                                                                          ;PCBKAS0005                                                      ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0x0A1E0017                        ;A4-BB-6D-3F-95-37;0xFE80000000000000A46A6B9E11EFE137;A4-BB-6D-3F-95-37;DELL   - 1072009 1.7.0                                                                                                          ;31TRS33                                                                                                                         ;          8361205760;        208359526400
nognjanovski                                                                                                                                                                                                                                                    ;PCPMAG0005                                                      ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;17763                                                           ;0x0A1E0608                        ;F8-B1-56-AB-4F-9F;0xFE80000000000000B073232FDC601CEE;F8-B1-56-AB-4F-9F;DELL   - 1072009 A29                                                                                                            ;1J68002                                                                                                                         ;          8471035904;        108560117760
opetkov                                                                                                                                                                                                                                                         ;srvaitdasdb2                                                    ;Windows Server 2022 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;20348                                                           ;0xA9FE016D                        ;02-52-9D-21-42-11;0x0A0A8D8A                        ;00-50-56-B3-BD-37;INTEL  - 6040000 VMW71.00V.21100432.B64.2301110304                                                                              ;VMware-42 33 c0 a6 72 8e 11 c8-1a a1 73 24 22 26 a6 03                                                                          ;         34358702080;        106778587136
gorazd.nikolovski                                                                                                                                                                                                                                               ;srvaitdasdb1                                                    ;Windows Server 2022 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;20348                                                           ;0xA9FE0251                        ;02-57-1E-16-CA-3A;0x0A0A8DA4                        ;00-50-56-B3-32-77;INTEL  - 6040000 VMW71.00V.21100432.B64.2301110304                                                                              ;VMware-42 33 c6 af 4f 10 76 46-98 af 72 29 2d 40 3b 4e                                                                          ;         34358702080;        106778587136
fsrbinoski                                                                                                                                                                                                                                                      ;PC000836                                                        ;Windows 11 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;22631                                                           ;0x0A1E0A71                        ;98-2C-BC-FB-80-8D;0x0A1E654B                        ;B8-85-84-C6-04-FB;DELL   - 1072009 1.32.0                                                                                                         ;BLFV5W2                                                                                                                         ;          8376057856;        209164693504
ptumbevski                                                                                                                                                                                                                                                      ;PC001166                                                        ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0x0A0A403D                        ;B8-85-84-A5-D2-F2;0xFE80000000000000A4F8E61F3CD54A8E;B8-85-84-A5-D2-F2;DELL   - 1072009 1.15.0                                                                                                         ;FK6YFS2                                                                                                                         ;          8376233984;        177958354944
etihomirova                                                                                                                                                                                                                                                     ;PCRUS275                                                        ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0xC0A81C64                        ;A8-93-4A-E5-3B-AD;0xFE800000000000004D14555B6FCEF951;A8-93-4A-E5-3B-AD;HPQOEM - 1072009 F.17                                                                                                           ;5CD146HKV0                                                                                                                      ;          7886438400;        255390105600
sristov                                                                                                                                                                                                                                                         ;srvaitsql01                                                     ;Windows Server 2012 R2 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;9600                                                            ;0x0A0A325B                        ;00-50-56-8E-63-53;NULL                              ;NULL             ;INTEL  - 6040000 PhoenixBIOS 4.0 Release 6.0                                                                                    ;VMware-56 4d d4 2d 16 ff ba 9b-8d c4 aa 64 ac 94 10 76                                                                          ;         17179262976;        107005079552
strajcevski                                                                                                                                                                                                                                                     ;srvaitinstall                                                   ;Windows Server 2022 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;20348                                                           ;0x0A0A32D2                        ;00-50-56-B3-8D-13;0xFE800000000000000F0C15FDAEDF0D69;00-50-56-B3-8D-13;INTEL  - 6040000 VMW71.00V.21100432.B64.2301110304                                                                              ;VMware-42 33 99 eb b8 30 56 0d-83 ae 4e 30 4f 93 33 f9                                                                          ;          8588898304;         85225107456
sristov                                                                                                                                                                                                                                                         ;srvaitqlik22                                                    ;Windows Server 2022 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;20348                                                           ;0x0A0A4E0B                        ;00-50-56-B3-92-43;NULL                              ;NULL             ;INTEL  - 6040000 VMW71.00V.21100432.B64.2301110304                                                                              ;VMware-42 33 c1 de ab a2 f0 e5-78 69 69 16 77 84 09 95                                                                          ;         17178832896;        106778587136
massac                                                                                                                                                                                                                                                          ;srvaitretrofit                                                  ;Windows Server 2019 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;17763                                                           ;0x0A0A098A                        ;00-50-56-B3-39-99;0xFE800000000000001230D9A6BF9E7328;00-50-56-B3-39-99;INTEL  - 6040000 VMW71.00V.21100432.B64.2301110304                                                                              ;VMware-42 33 fd fa 73 a4 83 6c-38 2e 86 aa 3b 98 da 0c                                                                          ;         17178832896;        267788480512
lsemochkina                                                                                                                                                                                                                                                     ;PCRUS200                                                        ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0x0A320625                        ;00-25-AB-AB-70-5D;0xFE80000000000000731A52B9FAD81528;00-25-AB-AB-70-5D;HPQOEM - 0 P12 Ver. 02.08                                                                                                       ;CZC744773F                                                                                                                      ;          8463278080;        248924061696
vkorolev                                                                                                                                                                                                                                                        ;pcrus105                                                        ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0xC0A80174                        ;F4-96-34-96-3A-52;0xFE8000000000000026EBCC0A56D200A5;F4-96-34-96-3A-52;HPQOEM - 0 P85 Ver. 01.06                                                                                                       ;5CD7436XN9                                                                                                                      ;          8482148352;        236655210496
sgafiatullina                                                                                                                                                                                                                                                   ;PCRUS438                                                        ;Windows 11 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;22631                                                           ;0xC0A85527                        ;6C-F6-DA-42-97-12;0xFE800000000000006DC622BB5191D925;6C-F6-DA-42-97-12;HUAWEI - 2 1.23                                                                                                                 ;2VRBB24622805418                                                                                                                ;         16890716160;        511168212992
dsavonina                                                                                                                                                                                                                                                       ;PCRUS197                                                        ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0x0A0A501D                        ;NULL             ;0xC0A8D423                        ;D0-C5-D3-59-70-A9;HPQOEM - 1 F.11                                                                                                                 ;CND8381PFR                                                                                                                      ;          3929292800;        126859964416
ithelpdeskrus                                                                                                                                                                                                                                                   ;srvrusfs                                                        ;Windows Server 2022 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;20348                                                           ;0x0A320605                        ;00-15-5D-06-0B-05;0xFE80000000000000B2E5DA49F874898A;00-15-5D-06-0B-05;VRTUAL - 1 Hyper-V UEFI Release v4.1                                                                                            ;9208-6814-7026-4080-1084-9501-12                                                                                                ;          7072653312;        106147344384
nsavranskaya                                                                                                                                                                                                                                                    ;PCRUS242                                                        ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0xA9FED03D                        ;80-32-53-76-ED-69;0x0A320624                        ;00-E0-4C-68-07-45;HPQOEM - 0 S71 Ver. 01.19.00                                                                                                    ;5CD01233P0                                                                                                                      ;          8419581952;        254683561984
mmalyutina                                                                                                                                                                                                                                                      ;PCRUS304                                                        ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0x0A0A501A                        ;NULL             ;0xC0A80068                        ;7C-21-4A-B1-54-BD;HPQOEM - 0 T74 Ver. 01.14.00                                                                                                    ;5CD2119GF4                                                                                                                      ;          8254660608;        255368294400
erostov                                                                                                                                                                                                                                                         ;PCRUS308                                                        ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0x0A0A500B                        ;NULL             ;0xC0A8016C                        ;7C-21-4A-BC-56-79;HPQOEM - 0 T74 Ver. 01.14.00                                                                                                    ;5CD2119HLJ                                                                                                                      ;          8254660608;        255368294400
